Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
II2204672,4/23/2022,20:20,44674,20:20,"1/2 509 E Green St, Champaign, IL 61820, USA",DRIVING UNDER THE,ARREST
,,,,,,INFL-ALCOHOL,
II2204932,4/30/2022,23:52,44681,23:52,"500 S 3rd St, Champaign, IL 61820, USA",TRESPASS-RESIDENCE,ARREST
II2204509,4/19/2022,12:50,44607,16:36,"202 S Broadway Ave Ste 1, Urbana, IL 61801,",PORNOGRAPHY-CHILD,PENDING
,,,,,USA,,
01463-2022,5/3/2022,10:00,44678,22:00,"301 E Gregory Dr, Champaign, IL 61820, USA",THEFT,ADMIN CLOSED
II2205056,5/4/2022,12:42,44685,12:42,"202 S Broadway Ave Ste 1, Urbana, IL 61801,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
IF2205041,5/4/2022,3:43,44685,3:43,"Stadium Dr & S 1st St, Champaign, IL 61820,",DISORDERLY CONDUCT,ADMIN CLOSED
,,,,,USA,,
01513-2022,5/5/2022,9:49,44685,14:00,"1005 S Lincoln Ave, Urbana, IL 61801, USA",CRIMINAL DAMAGE,ADMIN CLOSED
IF2204558,4/21/2022,3:02,44672,3:02,"1012 W Illinois St, Urbana, IL 61801, USA",HARASSMENT BY,ADMIN CLOSED
,,,,,,ELECTRONIC,
,,,,,,COMMUNICATIO,
CC2208655,3/21/2022,0:00,44631,15:00,"800 S 1st St, Champaign, IL 61820, USA",BURGLARY RESIDENTIAL,REPORTED TO
,,,,,,,OTHER AGENCY
CSA22-070,5/2/2022,15:03,44682,UNKNOWN,"Champaign, IL, USA",STALKING,ADMIN CLOSED
II2205036,5/4/2022,2:54,44685,1:59,"2221 S 1st St, Champaign, IL 61820, USA",THEFT OF MOTOR VEH,PENDING
,,,,,,PARTS & ACCESS,
II2204924,4/30/2022,20:21,44681,20:21,"1819 Philo Rd Suite A, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2204872,4/29/2022,11:33,44672,19:15,"1215 S 4th St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2205009,5/3/2022,1:00,44684,1:00,"1012 W Illinois St, Urbana, IL 61801, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
IF2204927,4/30/2022,23:00,44681,23:00,"102 E Green St STE 104, Champaign, IL 61820,",LIQUOR-UNDERAGE,ADMIN CLOSED
,,,,,USA,,
II2204939,5/1/2022,1:27,44682,1:27,"604 E Armory Ave, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
II2204944,5/1/2022,2:11,44682,2:10,"E John St & S 3rd St, Champaign, IL 61820,",BATTERY-AGGRAVATED,PENDING
,,,,,USA,,
01504-2022,5/5/2022,9:30,44678,21:00,"202 E Peabody Dr, Champaign, IL 61820, USA",THEFT,ADMIN CLOSED
II2204868,4/20/2022,14:20,44669,16:58,"500 E John St, Champaign, IL 61820, USA",DISORDERLY CONDUCT-ALL,PENDING
,,,,,,OTHER,
II2204905,4/30/2022,1:03,44681,1:03,"501 E Green St, Champaign, IL 61820, USA",RESIST/OBS,CLEARED
,,,,,,CORRECT/POLICE/FIRE,EXCEPT.
,,,,,,,JUVENILE NO
,,,,,,,CU
II2204909,4/30/2022,2:11,44681,2:11,"E Green St, Urbana, IL, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
CC2213720,5/1/2022,7:02,44681,10:53,"508 E Green St, Champaign, IL 61820, USA",CRIMINAL DAMAGE,REPORTED TO
,,,,,,,OTHER AGENCY
